지역명,평당분양가격,월,연도
충남,7382.099999999999,3,2017.0
전북,6745.2,3,2017.0
전남,6897.0,3,2017.0
경북,7560.299999999999,3,2017.0
경남,7943.099999999999,3,2017.0
제주,10220.1,3,2017.0
서울,21007.8,4,2017.0
인천,10490.7,4,2017.0
경기,11893.2,4,2017.0
부산,10853.7,4,2017.0
대구,10490.7,4,2017.0
광주,9418.2,4,2017.0
대전,9038.7,4,2017.0
울산,11807.4,4,2017.0
세종,9005.699999999999,4,2017.0
강원,6824.4,4,2017.0
충북,6732.0,4,2017.0
충남,7329.299999999999,4,2017.0
전북,6946.5,4,2017.0
전남,6949.799999999999,4,2017.0
경북,7649.4,4,2017.0
경남,7923.299999999999,4,2017.0
제주,10965.9,4,2017.0
서울,21120.0,5,2017.0
인천,10860.3,5,2017.0
경기,11464.2,5,2017.0
부산,11711.7,5,2017.0
대구,10490.7,5,2017.0
광주,9537.0,5,2017.0
대전,9038.7,5,2017.0
울산,11807.4,5,2017.0
세종,9005.699999999999,5,2017.0
강원,6877.2,5,2017.0
충북,6765.0,5,2017.0
충남,7332.599999999999,5,2017.0
전북,7029.0,5,2017.0
전남,7144.5,5,2017.0
경북,7797.9,5,2017.0
경남,7979.4,5,2017.0
제주,11414.7,5,2017.0
서울,22001.1,6,2017.0
인천,10975.8,6,2017.0
경기,11513.7,6,2017.0
부산,11932.8,6,2017.0
대구,10711.8,6,2017.0
광주,9609.6,6,2017.0
대전,9038.7,6,2017.0
울산,11820.6,6,2017.0
세종,9018.9,6,2017.0
강원,7032.299999999999,6,2017.0
충북,6741.9,6,2017.0
충남,7504.2,6,2017.0
전북,7263.299999999999,6,2017.0
전남,7085.099999999999,6,2017.0
경북,7863.9,6,2017.0
경남,8065.2,6,2017.0
제주,10804.2,6,2017.0
서울,21690.9,7,2017.0
인천,10962.6,7,2017.0
경기,11975.7,7,2017.0
부산,11926.2,7,2017.0
대구,12771.0,7,2017.0
광주,9550.2,7,2017.0
대전,9035.4,7,2017.0
울산,11820.6,7,2017.0
세종,9018.9,7,2017.0
강원,7081.799999999999,7,2017.0
충북,6741.9,7,2017.0
충남,7507.5,7,2017.0
전북,7243.5,7,2017.0
전남,7085.099999999999,7,2017.0
경북,7860.599999999999,7,2017.0
경남,8134.5,7,2017.0
제주,11005.5,7,2017.0
서울,20367.6,8,2017.0
인천,10800.9,8,2017.0
경기,12015.3,8,2017.0
부산,11843.7,8,2017.0
대구,13180.2,8,2017.0
광주,9579.9,8,2017.0
대전,9035.4,8,2017.0
울산,11820.6,8,2017.0
세종,9022.2,8,2017.0
강원,7484.4,8,2017.0
충북,6765.0,8,2017.0
충남,7448.099999999999,8,2017.0
전북,7289.7,8,2017.0
전남,7306.2,8,2017.0
경북,8055.299999999999,8,2017.0
경남,8299.5,8,2017.0
제주,11005.5,8,2017.0
서울,21473.1,9,2017.0
인천,10896.6,9,2017.0
경기,11972.4,9,2017.0
부산,11860.2,9,2017.0
대구,12668.7,9,2017.0
광주,9718.5,9,2017.0
대전,9550.2,9,2017.0
울산,11820.6,9,2017.0
세종,9101.4,9,2017.0
강원,7375.5,9,2017.0
충북,6778.2,9,2017.0
충남,7448.099999999999,9,2017.0
전북,7322.7,9,2017.0
전남,7306.2,9,2017.0
경북,8015.7,9,2017.0
경남,8283.0,9,2017.0
제주,10632.6,9,2017.0
서울,21707.4,10,2017.0
인천,10890.0,10,2017.0
경기,11962.5,10,2017.0
부산,12285.9,10,2017.0
대구,12668.7,10,2017.0
광주,9609.6,10,2017.0
대전,9005.699999999999,10,2017.0
울산,11170.5,10,2017.0
세종,9104.7,10,2017.0
강원,7520.7,10,2017.0
충북,6798.0,10,2017.0
충남,7533.9,10,2017.0
전북,7200.599999999999,10,2017.0
전남,7606.5,10,2017.0
경북,7811.099999999999,10,2017.0
경남,8038.799999999999,10,2017.0
제주,10632.6,10,2017.0
서울,21968.1,11,2017.0
인천,10890.0,11,2017.0
경기,11738.1,11,2017.0
부산,12606.0,11,2017.0
대구,12071.4,11,2017.0
광주,9553.5,11,2017.0
대전,9180.6,11,2017.0
울산,11134.2,11,2017.0
세종,9108.0,11,2017.0
강원,7652.7,11,2017.0
충북,6854.099999999999,11,2017.0
충남,7451.4,11,2017.0
전북,7260.0,11,2017.0
전남,7883.7,11,2017.0
경북,7887.0,11,2017.0
경남,8649.3,11,2017.0
제주,11748.0,11,2017.0
서울,22129.8,12,2017.0
인천,10949.4,12,2017.0
경기,11936.1,12,2017.0
부산,12678.6,12,2017.0
대구,11751.3,12,2017.0
광주,9556.8,12,2017.0
대전,8929.8,12,2017.0
울산,10434.6,12,2017.0
세종,10431.3,12,2017.0
강원,7596.599999999999,12,2017.0
충북,6854.099999999999,12,2017.0
충남,7778.099999999999,12,2017.0
전북,7345.799999999999,12,2017.0
전남,7920.0,12,2017.0
경북,7887.0,12,2017.0
경남,8896.8,12,2017.0
제주,11807.4,12,2017.0
서울,21855.9,1,2018.0
인천,10998.9,1,2018.0
경기,12691.8,1,2018.0
부산,12678.6,1,2018.0
대구,11830.5,1,2018.0
광주,9550.2,1,2018.0
대전,9055.2,1,2018.0
울산,10434.6,1,2018.0
세종,10431.3,1,2018.0
강원,7669.2,1,2018.0
충북,6854.099999999999,1,2018.0
충남,7900.2,1,2018.0
전북,7345.799999999999,1,2018.0
전남,7920.0,1,2018.0
경북,8055.299999999999,1,2018.0
경남,8896.8,1,2018.0
제주,11998.8,1,2018.0
서울,21882.3,2,2018.0
인천,11028.6,2,2018.0
경기,12790.8,2,2018.0
부산,12705.0,2,2018.0
대구,11101.2,2,2018.0
광주,9550.2,2,2018.0
대전,9527.1,2,2018.0
울산,10474.2,2,2018.0
세종,10431.3,2,2018.0
강원,7665.9,2,2018.0
충북,7147.799999999999,2,2018.0
충남,7900.2,2,2018.0
전북,7500.9,2,2018.0
전남,7774.799999999999,2,2018.0
경북,8055.299999999999,2,2018.0
경남,8903.4,2,2018.0
제주,12635.7,2,2018.0
서울,22558.8,3,2018.0
인천,11408.1,3,2018.0
경기,12790.8,3,2018.0
부산,12596.1,3,2018.0
대구,11193.6,3,2018.0
광주,9669.0,3,2018.0
대전,9527.1,3,2018.0
울산,10474.2,3,2018.0
세종,10431.3,3,2018.0
강원,7890.299999999999,3,2018.0
충북,8101.5,3,2018.0
충남,7900.2,3,2018.0
전북,7467.9,3,2018.0
전남,7748.4,3,2018.0
경북,8052.0,3,2018.0
경남,8900.1,3,2018.0
제주,12952.5,3,2018.0
서울,22575.3,4,2018.0
인천,11408.1,4,2018.0
경기,12734.7,4,2018.0
부산,12747.9,4,2018.0
대구,11629.2,4,2018.0
광주,9520.5,4,2018.0
대전,9807.6,4,2018.0
울산,10474.2,4,2018.0
세종,10332.3,4,2018.0
강원,7514.099999999999,4,2018.0
충북,8682.3,4,2018.0
충남,7900.2,4,2018.0
전북,7646.099999999999,4,2018.0
전남,7771.5,4,2018.0
경북,8052.0,4,2018.0
경남,8877.0,4,2018.0
제주,12952.5,4,2018.0
서울,22832.7,5,2018.0
인천,11338.8,5,2018.0
경기,13157.1,5,2018.0
부산,12714.9,5,2018.0
대구,12048.3,5,2018.0
광주,9589.8,5,2018.0
대전,9807.6,5,2018.0
울산,10474.2,5,2018.0
세종,10332.3,5,2018.0
강원,7553.7,5,2018.0
충북,8698.8,5,2018.0
충남,8094.9,5,2018.0
전북,7675.799999999999,5,2018.0
전남,7774.799999999999,5,2018.0
경북,8672.4,5,2018.0
경남,8893.5,5,2018.0
제주,12952.5,5,2018.0
서울,22090.2,6,2018.0
인천,11127.6,6,2018.0
경기,12959.1,6,2018.0
부산,12817.2,6,2018.0
대구,12107.7,6,2018.0
광주,9900.0,6,2018.0
대전,9807.6,6,2018.0
울산,10312.5,6,2018.0
세종,10332.3,6,2018.0
강원,7563.599999999999,6,2018.0
충북,7873.799999999999,6,2018.0
충남,8141.099999999999,6,2018.0
전북,7675.799999999999,6,2018.0
전남,7774.799999999999,6,2018.0
경북,8682.3,6,2018.0
경남,8893.5,6,2018.0
제주,12952.5,6,2018.0
서울,22506.0,7,2018.0
인천,11127.6,7,2018.0
경기,13041.6,7,2018.0
부산,13035.0,7,2018.0
대구,12249.6,7,2018.0
광주,9685.5,7,2018.0
대전,9698.7,7,2018.0
울산,10312.5,7,2018.0
세종,10332.3,7,2018.0
강원,7629.599999999999,7,2018.0
충북,7887.0,7,2018.0
충남,8141.099999999999,7,2018.0
전북,7698.9,7,2018.0
전남,7778.099999999999,7,2018.0
경북,8824.199999999999,7,2018.0
경남,8896.8,7,2018.0
제주,11002.2,7,2018.0
서울,22212.3,8,2018.0
인천,11031.9,8,2018.0
경기,13431.0,8,2018.0
부산,13107.6,8,2018.0
대구,12295.8,8,2018.0
광주,9685.5,8,2018.0
대전,9698.7,8,2018.0
울산,10312.5,8,2018.0
세종,10388.4,8,2018.0
강원,7669.2,8,2018.0
충북,7887.0,8,2018.0
충남,8071.799999999999,8,2018.0
전북,7626.299999999999,8,2018.0
전남,7778.099999999999,8,2018.0
경북,8589.9,8,2018.0
경남,8781.3,8,2018.0
제주,11002.2,8,2018.0
서울,23080.2,9,2018.0
인천,11031.9,9,2018.0
경기,13510.2,9,2018.0
부산,13497.0,9,2018.0
대구,12342.0,9,2018.0
광주,9672.3,9,2018.0
대전,11111.1,9,2018.0
울산,10312.5,9,2018.0
세종,10388.4,9,2018.0
강원,7685.7,9,2018.0
충북,7867.2,9,2018.0
충남,8071.799999999999,9,2018.0
전북,7626.299999999999,9,2018.0
전남,7761.599999999999,9,2018.0
경북,8721.9,9,2018.0
경남,9061.8,9,2018.0
제주,11002.2,9,2018.0
서울,24347.4,10,2018.0
인천,11352.0,10,2018.0
경기,13648.8,10,2018.0
부산,13318.8,10,2018.0
대구,12536.7,10,2018.0
광주,10045.2,10,2018.0
대전,11055.0,10,2018.0
울산,9537.0,10,2018.0
세종,10388.4,10,2018.0
강원,7778.099999999999,10,2018.0
충북,7867.2,10,2018.0
충남,8071.799999999999,10,2018.0
전북,7659.299999999999,10,2018.0
전남,7788.0,10,2018.0
경북,8662.5,10,2018.0
경남,9223.5,10,2018.0
제주,11002.2,10,2018.0
서울,24317.7,11,2018.0
인천,11724.9,11,2018.0
경기,13698.3,11,2018.0
부산,13332.0,11,2018.0
대구,12622.5,11,2018.0
광주,10563.3,11,2018.0
대전,11055.0,11,2018.0
울산,9537.0,11,2018.0
세종,10388.4,11,2018.0
강원,7873.799999999999,11,2018.0
충북,7811.099999999999,11,2018.0
충남,7989.299999999999,11,2018.0
전북,7731.9,11,2018.0
전남,7715.4,11,2018.0
경북,8847.3,11,2018.0
경남,9230.1,11,2018.0
